become;devenir
service;service
not;ne…pas
climb;grimper,escalader
about;environ,à propos de
drag;traîner,tirer
read;lire
who;qui
together;ensemble
ahead;devant,en avance
border;frontière,bord
agenda;agenda,ordre du jour
transition;transition
distinguish;distinguer
everyday;quotidien
fuel;carburant,combustible
funding;financement
glove;gant
possibly;peut-être,éventuellement
journalist;journaliste
power;pouvoir,puissance,énergie
refuse;refuser
description;description
neighbor;voisin
trip;voyage,excursion
hip;hanche
egg;œuf
future;futur
better;mieux,meilleur
essential;essentiel
good;bon,bien
domestic;domestique
trace;trace,tracer
furthermore;de plus,en outre
new;nouveau,neuf
warning;avertissement,mise en garde
tradition;tradition
stir;remuer,agiter
total;total
learning;apprentissage
stop;arrêter
pose;poser
significant;significatif,important
yell;crier,hurler
section;section,partie
north;nord
information;information
might;pourrait,puissance
rarely;rarement
settlement;règlement,colonie
cheek;joue
effort;effort
telescope;télescope
emission;émission
useful;utile
hi;salut
building;bâtiment
die;mourir
commit;commettre,s’engager
concerned;concerné,inquiet
board;tableau,conseil
package;paquet,colis
across;à travers,de l’autre côté
by;par,près de
data;données
award;prix,récompense
tree;arbre
brother;frère
plastic;plastique
dig;creuser
controversy;controverse
shelf;étagère
reduction;réduction
dad;papa
analyze;analyser
contain;contenir
cloud;nuage
shooting;fusillade,tir
quarter;quart,trimestre
general;général
go;aller
corn;maïs
personality;personnalité
aggressive;agressif
flame;flamme
presentation;présentation
championship;championnat
awful;horrible,affreux
enemy;ennemi
brush;brosse,brosser
somewhat;quelque peu
variation;variation
construct;construire
PC;ordinateur,PC
forget;oublier
careful;prudent,attentionné
poetry;poésie
thinking;pensée
model;modèle
briefly;brièvement
pretend;faire semblant
actual;réel,véritable
African-American;Afro-Américain
traffic;trafic,circulation
choose;choisir
current;actuel,courant
resistance;résistance
national;national
account;compte
importance;importance
finish;finir
bench;banc
willing;disposé,prêt
explore;explorer
application;application,candidature
wish;souhaiter,vœu
price;prix
ie;c’est-à-dire (abréviation de "id est")
eventually;finalement
pant;haleter,pantalon
imagination;imagination
secret;secret
try;essayer
tribe;tribu
psychologist;psychologue
couch;canapé
manufacturer;fabricant
belief;croyance
critic;critique
democratic;démocratique
formal;formel
such;tel
spending;dépenses
ratio;ratio,rapport
video;vidéo
perfectly;parfaitement
refer;faire référence
reflect;réfléchir,refléter
adequate;adéquat
history;histoire
DNA;ADN
air;air
protest;protestation,manifester
complex;complexe
